"Time Interval","Day","Out Area","In Area","Capacity (MW)"
"01/01/2017 - 01/01/2018","Friday 10/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Friday 10/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Friday 10/02/2017","BZN|GB","BZN|FR","1000.0"
"01/01/2017 - 01/01/2018","Friday 10/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Friday 10/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|DE-AT-LU","BZN|FR","2500.0"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|BE","BZN|FR","1400.0"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|ES","BZN|FR","2550.0"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|FR","BZN|DE-AT-LU","1800.0"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|FR","BZN|BE","2500.0"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|FR","BZN|ES","3100.0"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|FR","BZN|GB","1000.0"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|GB","BZN|FR","1000.0"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 11/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|BE","BZN|FR","950.0"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|ES","BZN|FR","2100.0"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|FR","BZN|DE-AT-LU","1500.0"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|FR","BZN|BE","2300.0"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|FR","BZN|ES","2600.0"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|FR","BZN|GB","1000.0"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|GB","BZN|FR","1000.0"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 12/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|BE","BZN|FR","950.0"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|ES","BZN|FR","2100.0"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|FR","BZN|DE-AT-LU","1500.0"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|FR","BZN|BE","2300.0"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|FR","BZN|ES","2600.0"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|FR","BZN|GB","1000.0"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|GB","BZN|FR","1000.0"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Monday 13/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|BE","BZN|FR","1600.0"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|ES","BZN|FR","2550.0"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|FR","BZN|DE-AT-LU","1500.0"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|FR","BZN|BE","2500.0"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|FR","BZN|ES","2850.0"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|FR","BZN|GB","1500.0"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|GB","BZN|FR","1500.0"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 14/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|BE","BZN|FR","1600.0"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|ES","BZN|FR","2550.0"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|FR","BZN|DE-AT-LU","1500.0"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|FR","BZN|BE","2500.0"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|FR","BZN|ES","2850.0"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|FR","BZN|GB","1500.0"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|GB","BZN|FR","1500.0"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 15/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|BE","BZN|FR","1600.0"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|ES","BZN|FR","2550.0"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|FR","BZN|DE-AT-LU","1500.0"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|FR","BZN|BE","2500.0"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|FR","BZN|ES","2850.0"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|FR","BZN|GB","1500.0"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|GB","BZN|FR","1500.0"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Thursday 16/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|BE","BZN|FR","1600.0"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|ES","BZN|FR","2550.0"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|FR","BZN|DE-AT-LU","1500.0"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|FR","BZN|BE","2500.0"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|FR","BZN|ES","2850.0"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|FR","BZN|GB","1500.0"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|GB","BZN|FR","1500.0"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Friday 17/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|BE","BZN|FR","1600.0"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|ES","BZN|FR","2550.0"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|FR","BZN|DE-AT-LU","1500.0"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|FR","BZN|BE","2500.0"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|FR","BZN|ES","2850.0"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|FR","BZN|GB","1500.0"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|GB","BZN|FR","1500.0"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Saturday 18/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|BE","BZN|FR","950.0"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|ES","BZN|FR","2100.0"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|FR","BZN|DE-AT-LU","1500.0"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|FR","BZN|BE","2300.0"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|FR","BZN|ES","2600.0"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|FR","BZN|GB","1000.0"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|GB","BZN|FR","1000.0"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Sunday 19/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|BE","BZN|FR","950.0"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|ES","BZN|FR","2100.0"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|FR","BZN|DE-AT-LU","1500.0"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|FR","BZN|BE","2300.0"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|FR","BZN|ES","2600.0"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|FR","BZN|GB","1000.0"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|GB","BZN|FR","1000.0"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Monday 20/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|DE-AT-LU","BZN|FR","1500.0"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|BE","BZN|FR","950.0"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|ES","BZN|FR","2400.0"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|FR","BZN|DE-AT-LU","1600.0"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|FR","BZN|BE","2500.0"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|FR","BZN|ES","2800.0"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|FR","BZN|GB","1500.0"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|GB","BZN|FR","1500.0"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Tuesday 21/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|DE-AT-LU","BZN|FR","1500.0"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|IT-North","BZN|FR","N/A"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|DE-LU","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|BE","BZN|FR","950.0"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|CH","BZN|FR","1200.0"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|ES","BZN|FR","2400.0"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|FR","BZN|DE-AT-LU","1600.0"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|FR","BZN|IT-North","N/A"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|FR","BZN|DE-LU","n/e"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|FR","BZN|BE","2500.0"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|FR","BZN|CH","3200.0"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|FR","BZN|ES","2800.0"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|FR","BZN|GB","1500.0"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|GB","BZN|FR","1500.0"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Wednesday 22/02/2017","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2017 - 01/01/2018","Thursday 23/02/2017","BZN|DE-AT-LU","BZN|FR","1500.0"
